Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
Nod2	50.9	44.32	21.77	17.02	23.58	5.97	41.15	27.91	21.79	34.64	13.45	26.11	13.01	26.35	10.19	6.02	7.14	8.54	8.62	9.35	7.09	7.98	15.66	15.27	9.24	14.76	6.04	8.72	10.92	11.33	6.39	10.78	6.68	3.44	9.37	3.94	1.91
Rbl2	5.77	5.22	14.48	24.11	23.58	17.35	4.99	3.99	4.24	5.77	17.04	10.88	7.23	13.18	10.19	9.02	28.94	32.53	34.96	10.28	24.83	35.93	12.53	26.26	27.38	18.59	29	26.08	17.16	25.49	23.77	16.18	30.83	19.93	15.61	15.77	20.3
Rbl2	0.1	0	0.21	0.55	7.86	0.69	0	0	0	0	0	0	0	0	0.85	0	1.19	0.75	0.46	0	0.89	0.7	0.78	0.61	0.48	0	1.21	0.45	0.78	0	0.35	0	0	0.46	0	0.79	0
Rbl2	0.1	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0.75	0.64	0	0.89	1.05	0.78	0	0.76	0	0	0.36	0.78	0.47	0.12	0	1.03	0	0	0	0
Rbl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mt2	2870.62	223.84	90.53	365.28	196.53	77.73	6565.86	1186.13	1227.78	357.98	903.25	349.2	1708.49	1311	2408.77	950.61	32.39	23.62	24.13	10.28	47	48.33	20.35	49.47	44.2	15.85	52.56	61.6	27.29	59.01	50.96	71.45	98.64	62.53	215.47	150.99	27.51
Mt1	3397.56	276.52	242.32	1325.39	455.94	614.46	22977.4	3939.13	4666.52	1467.73	3355.1	1487.07	6565.12	4944.25	8266.05	3859.61	317.34	270.83	225.79	101.89	455.76	376.87	119.77	414.1	364.99	149.78	565.47	414.58	184.04	610.89	588.74	407.11	781.42	652.14	1260.05	1249.29	383.46
chr8:96958278..96958303,+	241.17	84.91	32.61	37.75	47.17	6.52	86.03	65.79	32.69	62.36	39.47	38.07	14.45	56	25.46	51.14	20.96	23.87	22.66	28.04	19.51	19.33	39.92	26.26	19.31	45.92	24.17	12.2	38.21	18.41	8.75	35.05	11.3	5.5	39.04	7.1	5.3
Ciapin1	0.31	0.3	0	0	0	0.28	1.87	1.99	6.05	0	0	0	4.34	0	3.4	0	0	0	0	0	0	0.07	0	0	0.07	0.55	0	0	0	0.47	0.24	0	0	0	0	0	0.15
Ciapin1	9.03	10.3	8.13	8.18	31.44	9.44	15.59	23.92	27.24	8.08	12.56	8.7	7.23	6.59	17.82	3.01	9.53	4.52	5.69	12.15	7.09	6.23	9.39	7.94	7.31	8.2	5.44	7.48	7.02	3.78	7.8	17.52	11.82	10.77	9.37	12.62	11.18
Coq9	8.71	20.44	23.86	17.35	7.86	31.92	14.96	13.95	25.43	41.57	41.26	40.25	31.8	42.82	43.29	57.16	38.7	38.31	41.47	27.11	52.32	40.13	34.44	62.91	39.79	36.08	41.08	31.69	38.21	42.49	36.77	41.79	31.34	33.56	43.72	51.25	42.21
Ciapin1	0.31	0.45	0.1	0	0	0.14	3.12	3.99	16.35	0	3.14	0	4.34	3.29	1.7	0	0.48	0.5	0.37	1.87	0	0.14	0	0	0.28	0.55	0	0.45	0	0	0.35	1.35	1.03	0.11	0	0.39	0.74
Ciapin1	0.1	0	0	0	0	0	0.62	0	2.42	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15
Katnb1	0.1	0.3	0.42	0.44	0	0.28	0.62	0	0	0	0.9	1.09	0	0	0	0	0.24	0.5	0.64	0	0	0.56	0	1.83	0.62	0.55	0	0.45	0	0.47	0.24	0	0.51	0.23	0	0.79	0.15
Katnb1	0.73	1.79	3.33	5.02	15.72	3.61	2.49	1.99	4.84	1.15	3.14	4.35	0	3.29	3.4	0	5.12	3.64	3.3	7.48	2.66	4.06	9.39	3.05	4.48	3.28	3.02	3.83	0	3.3	4.97	5.39	3.6	4.35	6.25	3.55	3.38
AA960436	132.34	141.92	83.86	44.95	23.58	32.2	178.3	119.61	96.87	100.47	65.48	48.95	73.72	36.23	95.91	42.12	42.03	38.31	38.63	58.89	39.01	32.64	55.58	36.04	30.69	45.37	38.06	26.97	34.31	32.1	32.52	48.53	32.88	25.88	31.23	33.51	27.21
Got2	2.2	0.75	1.25	1.75	0	0.83	1.87	1.99	1.21	4.62	2.69	1.09	2.89	6.59	3.4	0	1.91	2.01	2.2	1.87	3.55	1.68	2.35	1.83	2.41	1.64	2.42	1.16	3.12	3.3	2.48	1.35	1.54	1.72	3.12	5.52	1.03
Got2	36.63	23.43	35.52	55.75	31.44	43.03	62.97	47.84	36.32	62.36	74	93.55	88.17	72.47	84.03	123.34	60.49	56.65	55.14	71.98	78.03	52.53	75.15	75.73	55.17	75.98	66.46	48.16	82.66	75.06	55.81	95.71	49.83	52.8	76.51	78.06	53.39
Got2	0.1	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0.85	0	0.12	0	0.18	0.93	0	0.07	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
Nck1	2.83	1.94	0.52	0.76	7.86	0.97	0.62	1.99	0	0	0.45	1.09	0	0	0	0	0.12	0.25	0.18	0	0	0.07	1.57	0	0.07	1.09	0	0.45	0	0	0.12	1.35	0.51	0.34	0	0	0.15
Nck1	31.48	20	6.35	11.89	47.17	13.19	26.18	59.8	9.69	24.25	9.87	10.88	7.23	3.29	7.64	27.07	2.5	4.27	5.5	6.54	5.32	2.73	5.48	2.44	2.14	6.56	4.23	2.23	8.58	1.89	2.01	5.39	4.11	3.32	0	5.12	3.68
Nck1	4.72	4.78	1.77	3.38	7.86	2.22	9.97	19.93	7.87	11.55	3.59	4.35	4.34	3.29	3.4	12.03	0.36	0.63	0.64	0.93	0.89	0.49	0.78	1.83	0.55	2.19	1.21	0.36	1.56	0.94	0.24	1.35	1.54	0.57	1.56	0.79	0.88
Nck1	5.35	6.72	5	4.15	15.72	3.47	8.73	7.97	10.9	4.62	4.04	6.53	4.34	3.29	3.4	6.02	2.98	3.52	3.95	6.54	2.66	3.15	7.05	0	2.55	4.37	3.62	2.67	7.8	1.89	2.96	6.74	2.57	3.09	17.18	4.34	2.94
Nck1	27.71	32.83	24.17	31.64	78.61	30.4	33.66	37.88	46.62	26.56	25.56	39.16	21.68	42.82	29.71	36.1	31.08	28.01	30.92	25.24	24.83	27.1	22.7	20.16	26.76	27.33	27.79	25.19	35.09	31.63	21.76	35.05	25.69	25.54	32.79	22.86	31.92
Topbp1	13.22	16.86	19.69	31.86	47.17	29.01	14.34	13.95	18.77	16.17	30.95	18.49	8.67	19.76	13.58	9.02	30.96	32.16	24.04	25.24	43.45	35.02	27.4	40.31	33.79	25.15	30.81	43	37.43	40.6	42.45	18.87	40.59	43.29	17.18	42.97	36.04
Cdv3	3.36	1.19	0.21	0.22	0	0.14	4.99	11.96	4.24	0	0.45	0	0	0	1.7	0	0.12	0	0.46	0	1.77	0.28	0	0.61	0.07	0	0	0.36	0	0	0.24	0	0	0.69	0	0	0.44
Cdv3	0.52	0.45	0	0.11	0	0	0	0	0	0	0.45	0	0	0	0.85	3.01	0	0.13	0.09	0	0	0	0	0	0.14	0	0	0	0.78	0.47	0.12	0	0	0.11	0	0	0
Cdv3	0.84	0.6	0.52	1.2	7.86	0.69	1.87	1.99	0.61	0	0.9	1.09	1.45	0	0.85	0	0.36	0.5	0.28	0.93	0.89	0.63	0	0.61	0.48	0.55	0.6	0.18	0	1.89	1.06	0	0	0.8	1.56	0.79	0.59
Cdv3	3.36	1.79	0.73	0.98	0	0.14	0.62	1.99	0	1.15	0	0	1.45	0	0.85	6.02	0.48	0.38	0.37	0	0	0.63	0	0.61	0.83	1.09	0.6	0.45	0	0.47	0	1.35	0	0.11	0	1.18	0.29
Cdv3	2.2	2.09	0.83	0.55	0	0.69	0.62	1.99	1.21	1.15	1.35	0	1.45	0	0	3.01	0.36	0.5	0.37	0	1.77	0.35	0	0.61	0.28	0	0.6	0.09	0	0.47	0.35	1.35	0	0.69	0	1.18	0.15
Cdv3	18.79	7.76	6.98	2.51	0	2.5	5.61	0	6.05	2.31	3.59	3.26	1.45	0	0.85	0	1.55	0.75	0.92	3.74	0.89	1.54	1.57	1.83	1.31	3.28	1.21	2.05	2.34	1.89	2.72	2.7	1.03	2.86	0	2.76	1.77
Cdv3	243.27	123.11	120.64	75.06	78.61	54.96	201.36	183.4	136.82	80.83	67.27	50.04	111.3	65.88	92.51	45.12	36.2	33.04	43.49	54.22	41.68	42.02	43.06	40.92	39.1	59.04	51.35	36.94	56.93	42.02	44.7	52.57	35.45	52.11	40.6	55.98	45.3
Cdv3	0.21	0.3	0.1	0.55	31.44	0.56	1.25	0	0	2.31	0.45	1.09	0	0	2.55	0	0.71	0.13	0.92	0	0	0.42	0	0	0.76	0.55	0	0.36	0.78	0	0.71	0	0	0.69	0	0	0.74
Cdv3	1.05	0.75	1.04	0.98	0	0.42	3.74	0	0.61	1.15	0.45	1.09	1.45	0	0	0	1.55	0.75	1.65	0	1.77	0.84	0	0.61	1.17	0.55	1.21	0.53	0	0.47	0.71	4.04	1.54	1.6	0	1.58	0.44
Cdv3	0.94	0.9	0.42	0.55	0	0.28	0.62	0	0	1.15	0	1.09	0	0	0.85	0	0	0.5	0.37	0	0	0.28	0.78	0	0.34	0	0.6	0.27	0.78	0	0.59	0	0	0.11	0	0	0.15
Cdv3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acad11	0.31	0	0.42	0.44	0	0.28	0	0	0.61	0	0	0	1.45	0	0.85	3.01	0.12	0.13	0.09	0	0.89	0.14	0	0	0.21	0	0	0.09	0	0.47	0.12	0	0	0.34	1.56	0.39	0.15
Acad11	1.05	3.28	3.13	3.27	0	2.78	3.74	1.99	3.63	2.31	2.24	11.97	2.89	16.47	6.79	24.07	5.24	3.89	4.13	0.93	3.55	3.22	4.7	5.5	3.86	4.92	2.42	4.45	2.34	4.72	2.84	0	2.06	2.98	3.12	2.37	3.82
Acad11	3.04	3.58	4.38	5.24	7.86	5.97	3.74	0	7.26	12.7	6.28	18.49	2.89	6.59	12.73	21.06	7.5	6.28	7.71	10.28	8.87	6.79	7.05	9.16	7.31	8.75	9.67	8.19	7.8	6.61	5.08	6.74	6.17	4.24	9.37	7.49	4.56
Dnajc13	72.83	54.32	42.19	57.17	125.78	30.81	81.04	77.75	78.7	57.74	59.65	32.64	36.14	36.23	28.01	60.17	57.87	53.76	61.93	56.09	43.45	59.53	46.19	37.87	54.27	46.46	56.18	59.38	57.71	41.07	39.61	47.18	61.14	34.13	42.16	36.66	30.15
Dnajc13	3.57	1.64	1.04	1.42	7.86	0.97	0.62	1.99	4.24	0	0	2.18	0	0	0	3.01	1.19	1.26	0.73	2.8	0	1.05	1.57	1.22	1.17	0.55	0	1.07	0	0.47	0.47	0	0.51	0.69	1.56	0.39	0.59
Nudt16	5.77	10.6	10.42	12.87	23.58	16.66	8.1	3.99	9.08	8.08	18.39	21.76	5.78	9.88	10.19	15.04	24.53	26.51	27.98	14.02	31.92	27.03	18.79	28.71	28.55	18.59	26.58	25.1	14.82	29.27	24.83	8.09	16.95	23.94	18.74	20.11	36.77
Pik3r4	14.9	15.67	16.46	21.28	0	14.85	20.57	21.93	23.01	20.79	28.7	22.84	18.79	16.47	21.22	21.06	31.2	32.66	35.69	26.17	37.24	35.93	29.75	37.26	37.1	27.33	42.29	32.49	24.17	41.54	26.49	22.92	17.98	26	34.35	24.84	21.18
Ppm1m	0.1	0	0.1	0.11	0	0.28	0	0	0	0	0.45	0	0	0	0	0	0.24	0.25	0.18	0	0.89	0.35	0	0	0.21	1.09	0	0.62	1.56	0.47	0.12	0	0.51	0.23	0	0	0.29
Ppm1m	2.41	4.33	6.98	5.35	0	13.88	3.12	5.98	4.24	3.46	17.94	5.44	15.9	9.88	12.73	0	11.07	11.43	10.92	12.15	28.37	13.31	10.96	17.1	16.83	12.03	16.92	20.03	17.94	18.41	19.51	12.13	7.71	17.75	7.81	11.43	13.97
Ppm1m	1.26	3.13	3.54	2.95	0	6.38	0	0	3.03	0	1.79	4.35	2.89	0	2.55	0	4.52	3.27	1.65	3.74	7.98	2.8	1.57	6.72	4.14	3.83	6.65	6.14	3.9	7.55	6.62	2.7	2.06	6.87	6.25	3.94	5.88
Twf2	43.24	48.5	54.8	52.59	39.31	104.1	20.57	17.94	27.24	35.8	78.48	56.57	36.14	52.7	52.62	21.06	91.33	87.43	92.3	101.89	104.63	81.1	97.07	115.43	81.51	88.56	88.2	82.35	74.86	88.28	100.04	98.41	69.36	90.02	81.19	85.15	88.25
Twf2	0.52	0.3	0.31	1.31	0	2.91	0.62	0	0.61	0	1.79	0	0	0	0	0	3.22	2.14	3.3	1.87	1.77	2.1	2.35	1.83	2.21	2.19	4.23	1.34	1.56	3.78	3.07	0	3.08	2.52	1.56	0.79	1.18
Twf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
Tlr9	57.93	2.39	10.52	13.42	0	6.38	6.23	5.98	8.48	5.77	40.81	13.05	7.23	3.29	4.24	9.02	148.13	136.55	137.71	64.5	115.27	125.51	68.11	98.33	98.54	35.53	77.93	70.24	28.85	65.15	26.96	17.52	27.74	16.61	12.49	27.2	11.47
Tlr9	58.77	1.49	4.79	8.51	0	5.14	4.36	11.96	3.03	3.46	27.36	3.26	2.89	9.88	1.7	3.01	93	80.27	67.34	41.13	101.08	75.85	50.88	58.63	63.65	24.6	65.85	48.07	14.82	54.29	19.87	12.13	33.91	13.4	26.54	14.98	5
Tlr9	0.84	0	0	0.11	0	0.14	0	0	0	0	0	0	0	0	0	0	0.83	1.26	1.56	0	0.89	1.05	0	2.44	0.62	0	1.21	0.45	0	0.94	0.12	0	0	0	0	0.39	0.15
Tlr9	0.21	0	0	0.33	0	0.28	0.62	0	0.61	0	0	0	0	3.29	0	0	3.22	1.63	2.48	4.67	2.66	1.47	2.35	3.66	2.28	0.55	1.21	0.98	0.78	1.89	0.24	0	1.54	0.23	0	1.58	0.29
Tlr9	0.52	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	1.31	1	2.48	1.87	0	1.61	0	0.61	0.69	0	1.81	0.36	0	0.47	0.24	0	1.54	0	0	0.39	0.15
Tlr9	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29	0	0	1.31	1	0.92	0	0	1.12	0	0.61	0.41	0	1.81	0	0	0.47	0.24	0	0.51	0	0	0	0
Alas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.07	0	0	0	0	0	0.09	0	0	0	0	0	0.11	0	0	0
Alas1	30.33	44.62	27.4	19.31	7.86	29.56	34.29	57.81	52.67	123.56	34.53	92.47	50.59	82.35	57.72	36.1	25.48	23.74	23.4	30.85	39.01	25.28	25.05	32.37	25.58	26.24	31.42	28.31	28.85	36.82	24.12	40.44	29.8	35.16	37.47	38.24	42.21
Alas1	16.16	29.99	22.29	32.84	7.86	17.63	13.72	15.95	13.32	35.8	25.56	42.43	18.79	16.47	23.77	15.04	19.17	21.86	17.43	26.17	28.37	17.72	30.53	31.15	16.27	30.61	19.33	19.23	23.39	20.77	14.66	21.57	23.63	16.03	32.79	23.26	20.74
Abhd14b	0.84	0.45	0.73	3.49	7.86	2.78	0	5.98	0	5.77	6.28	7.61	2.89	19.76	3.4	30.08	5.36	8.17	13.21	5.61	15.07	12.33	4.7	17.71	11.79	6.56	13.29	4.99	7.8	13.22	6.39	2.7	10.79	5.61	9.37	9.86	7.5
Abhd14b	0.1	0.15	0.42	1.31	0	0.97	0.62	1.99	0	3.46	2.69	3.26	0	0	0.85	12.03	2.62	3.27	5.41	0	4.43	4.2	2.35	6.11	5.38	3.83	6.65	3.47	2.34	2.36	3.43	5.39	3.08	2.86	4.68	3.94	3.09
Rrp9	0.63	0.3	0.31	0.44	0	0.14	0	0	0	1.15	0	0	0	0	0	0	0	0.25	0.09	0.93	0	0.14	0	0.61	0	0	0	0.18	0	0	0.35	0	0	0.23	0	0.39	0.74
Rrp9	19.94	28.95	23.96	16.69	15.72	22.07	17.46	13.95	32.69	23.1	15.25	10.88	23.13	0	18.67	12.03	10.36	8.54	10.18	19.63	16.85	10.02	18	6.11	11.38	11.48	9.67	15.31	10.92	8.5	13.95	13.48	17.47	16.15	17.18	12.62	10
Rrp9	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0.36	0.13	0.09	0	0	0.14	0	0	0	0	0	0.09	0.78	0.47	0	0	0	0.23	0	0	0.15
Vprbp	4.93	8.36	6.88	7.2	47.17	5.27	6.86	7.97	10.29	5.77	4.93	7.61	5.78	19.76	6.79	18.05	4.76	6.41	7.98	14.02	0.89	6.02	7.05	4.28	6.21	6.56	4.23	4.54	7.02	3.3	2.72	9.44	8.73	1.6	9.37	6.31	3.09
Vprbp	0.31	0	0	0	0	0	0	0	1.21	0	0	0	0	0	0	0	0.12	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0
Vprbp	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manf	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manf	23.72	52.08	56.15	21.06	23.58	13.19	21.82	31.9	50.85	8.08	14.8	3.26	66.49	6.59	86.57	3.01	9.41	7.16	8.35	27.11	9.75	8.12	14.09	13.44	10.9	15.85	10.87	14.07	14.04	12.75	10.52	24.27	14.9	13.29	18.74	24.84	15.44
Manf	131.5	221.01	236.17	154.27	172.94	92.44	152.74	147.52	168.3	65.82	87.01	69.62	198.02	42.82	186.73	48.13	73.11	67.46	56.79	106.57	101.08	70.53	113.51	92.23	81.65	92.93	101.49	95.61	88.9	110.47	81.94	113.24	139.74	97.12	146.77	148.62	105.76
Manf	5.46	8.8	9.58	7.31	0	4.16	4.36	3.99	3.03	10.39	1.35	6.53	2.89	6.59	7.64	15.04	5.12	4.02	2.57	3.74	7.09	4.34	2.35	6.11	3.65	0.55	1.21	4.99	3.12	2.36	5.44	2.7	4.62	4.24	0	8.28	4.27
Nprl2	4.2	5.97	9.9	11.56	15.72	12.49	9.35	7.97	7.26	13.86	10.76	20.67	11.56	19.76	11.88	21.06	11.79	14.07	18.07	14.96	16.85	16.95	16.44	21.38	18.55	12.03	19.33	14.87	21.06	17	17.15	22.92	15.41	15.23	10.93	22.47	20.15
Gnai2	4.2	2.39	3.65	7.53	15.72	2.78	2.49	7.97	1.21	1.15	3.14	6.53	1.45	6.59	5.09	0	5	6.28	5.05	5.61	5.32	2.87	6.26	1.22	3.86	4.92	6.04	3.29	5.46	3.3	1.66	5.39	14.9	2.86	1.56	5.91	2.35
Gnai2	0.94	0.6	1.15	0.87	7.86	0.69	2.49	1.99	0.61	1.15	2.24	0	0	3.29	0.85	0	4.17	3.14	2.66	0	0.89	3.57	0	1.22	2.07	2.19	1.81	2.05	1.56	3.3	0.95	0	2.06	1.26	0	2.37	1.03
chr9:107517351..107517391,-	5.98	1.64	7.81	5.46	55.03	4.3	7.48	7.97	1.82	9.24	7.62	4.35	0	9.88	7.64	18.05	29.53	30.78	26.52	1.87	9.75	22.69	2.35	17.71	19.79	6.56	10.87	11.84	10.14	17.94	4.61	4.04	11.82	5.61	9.37	9.07	2.5
Gnai2	0.31	0.15	0.52	0.55	0	0.14	1.25	1.99	0	1.15	0	2.18	0	0	0	3.01	0.95	1	0.55	0	0.89	0.77	0.78	0.61	1.24	0	0.6	1.25	0.78	2.36	0.47	0	1.03	0.92	0	0.39	0.59
Gnai2	1.47	1.04	1.77	2.62	23.58	2.22	5.61	1.99	0	3.46	2.69	1.09	1.45	9.88	2.55	3.01	2.62	2.76	3.67	3.74	2.66	3.08	2.35	2.44	3.1	2.73	0.6	1.07	2.34	2.83	2.36	2.7	7.71	1.72	3.12	3.55	1.32
Gnai2	0.94	1.49	1.77	2.29	0	2.36	1.25	1.99	0.61	3.46	1.35	7.61	1.45	3.29	0.85	0	2.5	2.26	3.03	1.87	0	2.03	1.57	2.44	2.34	4.37	2.42	1.07	0.78	2.36	1.3	2.7	3.08	1.15	4.68	2.76	2.5
Gnai2	1.78	1.49	1.88	2.4	15.72	2.78	3.12	3.99	1.21	0	3.14	3.26	7.23	3.29	4.24	0	2.02	3.64	3.76	1.87	6.21	3.85	3.91	3.05	3.38	6.01	1.81	1.69	3.12	5.19	2.36	2.7	9.76	1.72	9.37	7.88	1.77
Gnai2	553.6	546.48	626.74	651.68	558.14	644.02	621.55	647.88	618.73	834.91	690.22	857.21	446.64	1040.89	440.51	833.29	879.14	796.92	1006.85	788.04	608.28	890.04	857.19	755.52	830.39	827.08	856.06	575.27	803.22	840.32	658.39	806.14	881.6	663.82	783.82	764.79	628.37
Gnai2	4.83	4.92	4.48	5.89	0	7.63	4.36	3.99	2.42	4.62	1.79	5.44	1.45	6.59	3.4	6.02	4.64	5.9	5.78	1.87	1.77	5.67	6.26	4.28	5.03	3.83	8.46	5.25	3.9	2.83	5.91	5.39	6.68	6.07	7.81	3.55	6.18
Mon1a	5.04	7.01	6.98	5.56	0	6.52	2.49	0	6.05	10.39	10.76	14.14	7.23	9.88	7.64	6.02	8.69	8.67	10.28	10.28	13.3	9.39	7.83	15.27	10.76	8.2	7.85	9.44	13.26	8.03	8.4	8.09	8.73	6.76	9.37	3.55	6.77
6230427J02Rik	3.78	7.61	9.17	6.87	0	9.72	3.74	1.99	5.45	8.08	12.11	4.35	7.23	6.59	4.24	12.03	18.22	15.45	10.73	14.96	18.62	17.09	16.44	15.88	20.41	13.12	12.08	19.59	15.6	20.3	20.46	8.09	23.12	14.43	14.05	11.43	11.33
6230427J02Rik	0.84	2.98	1.77	2.95	0	3.19	0.62	3.99	1.21	1.15	4.48	1.09	5.78	0	0.85	3.01	3.45	2.89	2.94	3.74	3.55	2.45	5.48	5.5	3.1	1.09	3.02	4.1	1.56	2.83	5.44	2.7	0.51	3.89	3.12	3.94	4.41
